,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
273,19,appCat.builtin,3047.0,45.0,2014-03-21,2014-03-22,1915.0,0.094,3120.882
274,19,appCat.communication,2587.0,46.0,2014-03-21,2014-03-22,2276.0,0.478,5889.734
275,19,appCat.entertainment,15.0,6.0,2014-03-24,2014-03-24,15.0,1.001,546.49
276,19,appCat.finance,,,,,,,
277,19,appCat.game,7.0,2.0,2014-04-05,2014-04-05,7.0,2.152,229.132
278,19,appCat.office,,,,,,,
279,19,appCat.other,251.0,45.0,2014-03-21,2014-03-27,232.0,1.293,198.708
280,19,appCat.social,194.0,31.0,2014-03-21,2014-04-05,190.0,0.234,30000.906
281,19,appCat.travel,25.0,3.0,2014-03-31,2014-03-31,25.0,0.17,219.423
282,19,appCat.unknown,28.0,9.0,2014-03-26,2014-03-27,27.0,1.002,35.214
283,19,appCat.utilities,6.0,2.0,2014-04-08,2014-04-08,6.0,0.638,33.172
284,19,appCat.weather,,,,,,,
285,20,mood,202.0,47.0,2014-03-20,2014-03-31,6.0,4.0,9.0
286,20,circumplex.arousal,203.0,47.0,2014-03-20,2014-03-31,4.0,-2.0,1.0
287,20,circumplex.valence,203.0,47.0,2014-03-20,2014-03-31,3.0,-1.0,1.0
288,20,activity,287.0,38.0,2014-03-22,2014-03-26,76.0,0.0,0.75
289,20,screen,1001.0,39.0,2014-03-20,2014-03-23,865.0,0.118000030517578,2144.21899986267
290,20,call,46.0,20.0,2014-02-17,2014-03-08,1.0,1.0,1.0
291,20,sms,54.0,31.0,2014-02-17,2014-04-01,1.0,1.0,1.0
292,20,appCat.builtin,503.0,37.0,2014-03-20,2014-03-25,444.0,0.001,177.866
293,20,appCat.communication,703.0,32.0,2014-03-20,2014-03-23,613.0,0.114,534.137
294,20,appCat.entertainment,53.0,21.0,2014-03-20,2014-04-05,52.0,2.007,218.181
295,20,appCat.finance,10.0,2.0,2014-04-04,2014-04-04,10.0,1.011,29.615
296,20,appCat.game,28.0,16.0,2014-03-20,2014-04-06,28.0,1.003,953.245
297,20,appCat.office,,,,,,,
298,20,appCat.other,116.0,24.0,2014-03-22,2014-03-26,111.0,1.315,174.917
299,20,appCat.social,180.0,28.0,2014-03-20,2014-03-27,179.0,1.003,723.048
300,20,appCat.travel,2.0,1.0,2014-04-02,2014-04-02,2.0,3.01,90.424
